gene,priority_score,rank,evidence_note,source
EGFR,10,1,Core PI4AD target (epidermal growth factor receptor),offline_snapshot
SRC,9.461,2,"Peripheral PI4AD target (SRC proto-oncogene, non-receptor tyrosine kinase)",offline_snapshot
GRB2,9.332,3,Peripheral PI4AD target (growth factor receptor bound protein 2),offline_snapshot
AKT1,9.208,4,Peripheral PI4AD target (AKT serine/threonine kinase 1),offline_snapshot
CD4,9.201,5,Peripheral PI4AD target (CD4 molecule),offline_snapshot
ACTB,9.125,6,Peripheral PI4AD target (actin beta),offline_snapshot
B2M,9.065,7,Peripheral PI4AD target (beta-2-microglobulin),offline_snapshot
TP53,8.981,8,Peripheral PI4AD target (tumor protein p53),offline_snapshot
FN1,8.972,9,Peripheral PI4AD target (fibronectin 1),offline_snapshot
ITGB1,8.895,10,Peripheral PI4AD target (integrin subunit beta 1),offline_snapshot
FYN,8.798,11,"Peripheral PI4AD target (FYN proto-oncogene, Src family tyrosine kinase)",offline_snapshot
INS,8.785,12,Peripheral PI4AD target (insulin),offline_snapshot
PTK2,8.687,13,Peripheral PI4AD target (protein tyrosine kinase 2),offline_snapshot
SYK,8.678,14,Peripheral PI4AD target (spleen associated tyrosine kinase),offline_snapshot
CTNNB1,8.67,15,Peripheral PI4AD target (catenin beta 1),offline_snapshot
ERBB2,8.662,16,Peripheral PI4AD target (erb-b2 receptor tyrosine kinase 2),offline_snapshot
HSP90AA1,8.617,17,Peripheral PI4AD target (heat shock protein 90 alpha family class A member 1),offline_snapshot
APP,8.597,18,Core PI4AD target (amyloid beta precursor protein),offline_snapshot
CBL,8.595,19,Peripheral PI4AD target (Cbl proto-oncogene),offline_snapshot
PIK3R1,8.586,20,Peripheral PI4AD target (phosphoinositide-3-kinase regulatory subunit 1),offline_snapshot
PTPN11,8.554,21,Peripheral PI4AD target (protein tyrosine phosphatase non-receptor type 11),offline_snapshot
PLCG2,8.542,22,Core PI4AD target (phospholipase C gamma 2),offline_snapshot
CRK,8.502,23,"Peripheral PI4AD target (CRK proto-oncogene, adaptor protein)",offline_snapshot
CALM1,8.481,24,Peripheral PI4AD target (calmodulin 1),offline_snapshot
FGB,8.48,25,Peripheral PI4AD target (fibrinogen beta chain),offline_snapshot
CALR,8.471,26,Core PI4AD target (calreticulin),offline_snapshot
PTPRC,8.462,27,Peripheral PI4AD target (protein tyrosine phosphatase receptor type C),offline_snapshot
IGHV4-38-2,8.45,28,Peripheral PI4AD target (None),offline_snapshot
STAT3,8.45,28,Peripheral PI4AD target (signal transducer and activator of transcription 3),offline_snapshot
KRAS,8.437,30,"Peripheral PI4AD target (KRAS proto-oncogene, GTPase)",offline_snapshot
MAPK3,8.435,31,Core PI4AD target (mitogen-activated protein kinase 3),offline_snapshot
LYN,8.385,32,"Peripheral PI4AD target (LYN proto-oncogene, Src family tyrosine kinase)",offline_snapshot
JUN,8.319,33,"Peripheral PI4AD target (Jun proto-oncogene, AP-1 transcription factor subunit)",offline_snapshot
PLCG1,8.291,34,Peripheral PI4AD target (phospholipase C gamma 1),offline_snapshot
