# STRING v12.0 protein-protein interaction subgraph over the NeuroAD gene universe
# (74 PI4AD snapshot genes UNION 50 Open Targets AD targets UNION MECHANISM_GENES = 115 symbols).
# Source: STRING v12.0 https://string-db.org/api/tsv/network (Homo sapiens, taxon 9606),
# fetched 2026-07-11, no credentials. Licensed CC BY 4.0 (bundling a subset is license-clean).
# combined_score is STRING's integrated confidence on the 0-1000 scale (network default cutoff 400).
# This is the offline-first, deterministic PPI network for in-repo RWR/heat-diffusion propagation.
gene_a,gene_b,combined_score,string_version
ABCA7,ADAM10,644,v12.0
ABCA7,APOE,774,v12.0
ABCA7,APP,697,v12.0
ABCA7,BACE1,482,v12.0
ABCA7,BIN1,824,v12.0
ABCA7,CALR,454,v12.0
ABCA7,CD33,767,v12.0
ABCA7,CLU,810,v12.0
ABCA7,EPHA1,780,v12.0
ABCA7,MAPT,574,v12.0
ABCA7,MS4A6A,811,v12.0
ABCA7,PICALM,872,v12.0
ABCA7,PLCG2,429,v12.0
ABCA7,PSEN1,690,v12.0
ABCA7,PSEN2,803,v12.0
ABCA7,SORL1,841,v12.0
ABCA7,TREM2,775,v12.0
ACE,ACHE,733,v12.0
ACE,ACTB,765,v12.0
ACE,ADAM10,458,v12.0
ACE,AKT1,627,v12.0
ACE,APOE,876,v12.0
ACE,APP,516,v12.0
ACE,B2M,440,v12.0
ACE,BACE1,430,v12.0
ACE,BCHE,489,v12.0
ACE,BCL2,403,v12.0
ACE,CD4,596,v12.0
ACE,CDC42,523,v12.0
ACE,EGFR,419,v12.0
ACE,ERBB2,401,v12.0
ACE,ESR1,507,v12.0
ACE,FN1,484,v12.0
ACE,GAPDH,539,v12.0
ACE,HFE,523,v12.0
ACE,HMGCR,806,v12.0
ACE,HSP90AA1,509,v12.0
ACE,HSP90AB1,504,v12.0
ACE,INS,849,v12.0
ACE,ITGB1,417,v12.0
ACE,JUN,469,v12.0
ACE,MAPK1,535,v12.0
ACE,MAPK3,447,v12.0
ACE,NFKB1,476,v12.0
ACE,PDGFRB,465,v12.0
ACE,PECAM1,463,v12.0
ACE,PLCG2,457,v12.0
ACE,RHOA,417,v12.0
ACE,STAT3,400,v12.0
ACE,TLR4,528,v12.0
ACE,TP53,426,v12.0
ACHE,AKT1,495,v12.0
ACHE,APOE,769,v12.0
ACHE,APP,937,v12.0
ACHE,BACE1,831,v12.0
ACHE,BCL2,465,v12.0
ACHE,CDK5,451,v12.0
ACHE,EGFR,506,v12.0
ACHE,FN1,487,v12.0
ACHE,GSK3B,517,v12.0
ACHE,INS,528,v12.0
ACHE,MAPT,817,v12.0
ACHE,PSEN1,751,v12.0
ACHE,PSEN2,489,v12.0
ACHE,SLC6A3,447,v12.0
ACTB,ADAM10,464,v12.0
ACTB,AKT1,923,v12.0
ACTB,APOE,643,v12.0
ACTB,APP,801,v12.0
ACTB,AURKB,514,v12.0
ACTB,AXL,487,v12.0
ACTB,B2M,813,v12.0
ACTB,BACE1,596,v12.0
ACTB,BCL2,885,v12.0
ACTB,CALR,585,v12.0
ACTB,CBL,611,v12.0
ACTB,CD4,777,v12.0
ACTB,CDC42,975,v12.0
ACTB,CDK4,712,v12.0
ACTB,CDK5,516,v12.0
ACTB,CDKN1A,709,v12.0
ACTB,CDKN2B,401,v12.0
ACTB,CLU,592,v12.0
ACTB,CRK,401,v12.0
ACTB,CSF1R,508,v12.0
ACTB,CTNNB1,860,v12.0
ACTB,EGF,778,v12.0
ACTB,EGFR,839,v12.0
ACTB,ERBB2,932,v12.0
ACTB,ESR1,947,v12.0
ACTB,FN1,886,v12.0
ACTB,FOXO3,633,v12.0
ACTB,FYN,671,v12.0
ACTB,GAPDH,975,v12.0
ACTB,GRB2,814,v12.0
ACTB,GRIN1,438,v12.0
ACTB,GRIN2A,535,v12.0
ACTB,GRIN2B,738,v12.0
ACTB,GRIN2C,506,v12.0
ACTB,GSK3B,847,v12.0
ACTB,HDAC1,766,v12.0
ACTB,HMGCR,578,v12.0
ACTB,HRAS,534,v12.0
ACTB,HSP90AA1,967,v12.0
ACTB,HSP90AB1,911,v12.0
ACTB,INS,801,v12.0
ACTB,ITGAM,723,v12.0
ACTB,ITGB1,984,v12.0
ACTB,ITGB3,949,v12.0
ACTB,JUN,806,v12.0
ACTB,KIT,642,v12.0
ACTB,KRAS,672,v12.0
ACTB,LOC102723407,412,v12.0
ACTB,LYN,453,v12.0
ACTB,MAPK1,767,v12.0
ACTB,MAPK3,844,v12.0
ACTB,MAPT,817,v12.0
ACTB,MYC,892,v12.0
ACTB,NCK1,627,v12.0
ACTB,NFKB1,766,v12.0
ACTB,NRAS,501,v12.0
ACTB,PDGFRB,538,v12.0
ACTB,PECAM1,733,v12.0
ACTB,PIK3CA,509,v12.0
ACTB,PIK3R1,452,v12.0
ACTB,PLCG1,431,v12.0
ACTB,PLK1,552,v12.0
ACTB,PSEN1,477,v12.0
ACTB,PTEN,720,v12.0
ACTB,PTK2,587,v12.0
ACTB,PTPN11,446,v12.0
ACTB,PTPRC,734,v12.0
ACTB,RHOA,978,v12.0
ACTB,SHC1,535,v12.0
